prefix,title,language,abstract,de:abstract,keywords,de:keywords,doi,issueDatepublished,issueVolume,issueNumber,issueYear,issueTitle,sectionTitle,sectionAbbrev,pages,articleSeq,authorFirstname1,authorLastname1,authorFirstname2,authorLastname2,authorFirstname3,authorLastname3,authorFirstname4,authorLastname4,authorFirstname5,authorLastname5,authorFirstname6,authorLastname6,authorFirstname7,authorLastname7,authorFirstname8,authorLastname8,authorFirstname9,authorLastname9,authorFirstname10,authorLastname10,authorFirstname11,authorLastname11,file1,fileLabel1,fileGenre1,fileLocale1
,Agrarpolitische Interessen Frankreichs und Deutschlands - Gemeinsamkeiten und Divergenzen unter sich ändernden Rahmenbedingungen,en_US,"Agricultural policy interests of France and Germany - similarities and divergences under changing conditions. The aim of this contribution is to examine how the French and the German positions on agricultural policy have developed since the foundation of the EEC and what the driving forces were behind. The ""general consensus"" underlying the EEC treaty, and according to which the common market would be ""conquered"" by France in the case of the classical agricultural products, could not be translated into practice; for what emerged for these products was not a customs union but a ""price support union"". As a consequence French intra-community agricultural exports had to be redirected to the world market. Thus initial positive French income transfers via intra-community trade were transformed into transfers from the EC budget, an evolution that can be interpreted as a ""modification of the general consensus"". However, this was not to last long either since the policy of price support, plus the unlimited obligation for the state to purchase any production surpluses, were bound to cause increasing budget costs and an aggravation of international trade conflicts. The fact that in the ensuing discussions on the CAP France favored price cuts while the Federal Republic pleaded for quantitative restrictions, is explained with the help of a partial analysis model. Moreover, the article also explains further divergences between the French and the German agricultural policy positions. In so doing, account is also taken of (a) the modifications of the German positions after reunification and (b) the new accents that have appeared in French agricultural policy after the change in government in 1997.",,,,,2001-05-01,50,3,2001,,Articles,ART,,2,Heinz,Ahrens,Christian,Lippert,,,,,,,,,,,,,,,,,,,332_org.pdf,PDF,Article Text,en
,Strategies of the German and French food industry and consequences for the competitiveness,en_US,"Based on an analysis of selected determinants for the competitiveness and of strategies of the food industries the contribution illustrates similarities and major differences between the food industries of these two countries. It is shown that in both countries measures are necessary to further improve competitiveness. Important strategic means are the continuation of structural change, the strengthening of the position of co-operatives, a consequent orientation towards market developments and a stronger internationalisation.",,,,,2001-05-01,50,3,2001,,Articles,ART,,3,Hannes,Weindlmaier,Jean-Louis,Floriot,,,,,,,,,,,,,,,,,,,13_org.pdf,PDF,Article Text,en
,Die Europäische Agrarpolitik im Spannungsfeld von Osterweiterung und WTO-Verhandlungen,en_US,"EU Enlargement and WTO Restrictions Shaping the CAP - A political economy analysis of the present and future CAP reform with special reference to Germany and France. The paper presents a political economy analysis of the present and future CAP reform induced under different policy scenarios regarding future EU enlargement and future WTO agreements. Theoretically, the analysis is based on a political exchange model suggested by Henning (2000). Main results are: (i) Both present and future CAP reforms are significantly biased by the political influence of farmers' lobby. (ii) In quantitative terms an EU enlargement would induce a much stronger shift in the future CAP when compared to increased WTO restrictions. (iii) The timing of the reform is important, given the fact that induced CAP reforms would be supported by a qualified majority within the EU-15, but within the EU-25 these reforms would be defeated by coalition of the new Eastern European member states using their common veto-power. (iv) The majority of political actors within the EU-15 including both politicians and interest groups evaluate induced CAP reforms negatively in comparison to the status quo, while from society's perspective these imply a positive shift of total economic welfare within EU-15.",,,,,2001-05-01,50,3,2001,,Articles,ART,,4,Christian H.C.A.,Henning,Thomas,Glauben,Andreas,Wald,,,,,,,,,,,,,,,,,14_org.pdf,PDF,Article Text,en
,Die Entscheidungen des 'Dispute Settlement'-Verfahrens der WTO im Hormonstreit zwischen der EU und den USA - Implikationen für den zukünftigen Umgang mit dem SPS-Abkommen,en_US,"The decision of the WTO dispute settlement in the hormone dispute between the EC and the USA - implications for further handling of the SPS-agreement Institutions should reduce uncertainty and the costs of transaction with their regulating activities. This target was pursued at an international level with the foundation of the WTO. With an extensive treaty and a new dispute settlement procedure, the WTO was founded as the institutional platform for international co-operation. In view of the growing conflicts in international trade, the hope to create with this institution an international trade order, in which legally comprehensible decisions dominate and power-oriented politics are deterred, is fading. The case of the hormone dispute shows that the target of a fast harmonization of international standards cannot be reached in critical trade disputes. A solo effort in the area of trade measures that is introduced with the reason to protect consumers is still possible.",,,,,2001-05-01,50,3,2001,,Articles,ART,,5,Marc Christopher,Kramb,,,,,,,,,,,,,,,,,,,,,15_org.pdf,PDF,Article Text,en
,The millennium round of WTO negotiations and the future of EU agricultural policy,en_US,"The Uruguay Round has established completely new rules for agricultural trade, but not yet achieved much liberalisation. The current new round of negotiations will, therefore, have to make another big step forward. Countries' views on what exactly should be agreed in the new round still differ widely. However, it is remarkable that no country has so far doubted the validity of the new WTO rules for agriculture, nor refused to engage in serious negotiations about further reductions. The EU has so far not had major difficulties to honour the new commitments that resulted from the Uruguay Round, though in the area of export subsidies the constraints have already been felt. In the new round of negotiations, EU export subsidies will be a primary target of negotiations, given the fact that the EU grants around 88 % of all agricultural export subsidies world-wide. It will, therefore, be important for the EU to change its policies such that EU agriculture can export without subsidies. In the cereals sector, Agenda 2000 has made a notable step in this direction. For other products, though, the EU will need more reforms in the future.",,,,,2001-05-01,50,3,2001,,Articles,ART,,6,Stefan,Tangermann,,,,,,,,,,,,,,,,,,,,,16_org.pdf,PDF,Article Text,en
,The influence of agricultural inheritance laws on structural change in German agriculture,en_US,"The proclaimed aim of agricultural inheritance law in Germany and its preferential treatment of the farm successors is to maintain sustainable agricultural enterprises. To clarify this situation, this contribution exemplifies the financial assistance obtained through the legal situation and analyses a farm survey of about 1000 farms larger than 30 ha. As a result, it is noted that not only sustainable but also unsustainable farms are protected from division - an effect which causes delay in structural change. It is therefore suggested that the agricultural inheritance law be changed in such ways that only the so-called BGB land value law and the allocation rights included in the land trade laws are maintained. As a consequence, the incentive of the farm owner or his successor is required if special inheritance laws are to be implemented.",,,,,2001-05-01,50,3,2001,,Articles,ART,,7,Helmut,Doll,Ferdinand,Fasterding,Klaus,Klare,,,,,,,,,,,,,,,,,17_org.pdf,PDF,Article Text,en
,"Möglichkeiten zur Umsetzung integrierter Fördermaßnahmen an der Schnittstelle Landwirtschaft, Umwelt, Ländliche Entwicklung im Rahmen der Verordnung (EG) Nr. 1257/99",en_US,"Possibilities for integrated support measures at the interface of agriculture, environment and rural development in the context of EC Regulation 1257/99
EC Regulation 1257/99 of 17 May 1999 underlines the intention of the European Commission of an integrated rural development policy. In this paper the chances are examined that this new policy orientation offers for a more multifunctional agriculture. Possibilities for the implementation of integrated support measures at the interface of agriculture, environment and rural development are presented. First, functional relationships between agriculture and rural development are explored on the basis of three examples. This is followed by a more analytical section on relevant experiences, data and concepts. The significance of 'new', agriculture-related activities in rural areas is underlined. A paradigm shift from volumes and costs of production towards quality and value added is demanded. The paper concludes with a discussion of the perspectives for a multifunctional agriculture and a plead for rural development measures that are in support of this reorientation.",,,,,2001-05-01,50,3,2001,,Articles,ART,,8,Karlheinz,Knickel,,,,,,,,,,,,,,,,,,,,,18_org.pdf,PDF,Article Text,en
,„Doppelte Politikverflechtung“ als Bestimmungsfaktor der Agrarstruktur- und der Agrarumweltpolitik in der BR Deutschland,en_US,"Double interlocked federalism: The case of agri-structural and agri-environmental policies in the Federal Republic of Germany. A large portion of the agri-structural policies and agri-environmental policies in the Federal Republic of Germany are decided within the framework of complex decision-making structures and fiscal responsibility at different political levels (the federal states, the national government, and the European Union), resulting in ""double-interlocked federalism"". This paper describes the specific institutional configuration and its historical development, and presents a financial analysis of the development plans for rural areas in selected federal states to illustrate the increasing role of interlocked federalism. The interplay between the political levels took an unexpectedly flexible, and between the various states heterogeneous, form. All in all, however, the results did not corroborate the theoretical point of view suggesting a ""joint decision trap.""",999,,,,2001-05-01,50,3,2001,,Articles,ART,,9,Peter,Mehl,Reiner,Plankl,,,,,,,,,,,,,,,,,,,19_org.pdf,PDF,Article Text,en
,Agrarpolitik als Management öffentlicher Güter: Zur Ökonomik der dezentralen Bereitstellung von Natur in der Kulturlandschaft,en_US,"Managing landscapes as public goods: on the economics of providing for nature in cultivated landscapes in decentralized ways Political procedures aimed at solving conflicts of agriculture and the environment are becoming increasingly important. In contrast to previous research, property rights solutions are regarded as inappropriate to solve the conflicts between farming and nature conservation due to transaction costs. The political process is considered as a substitute for market transactions in an agri-environment being a public good and advised as an ecological main structure (EMS). The paper addresses the problem by introducing a public manager who is responsible for the provision of an ecological main structure. It applies a political economy model of social bargaining, shows how a tragedy of the commons problem may prevail in field margin provision, and outlines a social optimum for an EMS. Finally, it provides for a solution to the problem of establishing socially acceptable rules for individuals in a political economy framework. In that solution farmers', environmentalists', and a manager's interests are considered simultaneously and the paper provides for a unified solution on the basis of a derived public objective function.",,,,,2001-05-01,50,3,2001,,Articles,ART,,10,Ernst-August,Nuppenau,,,,,,,,,,,,,,,,,,,,,20_org.pdf,PDF,Article Text,en
,Landwirtschaft und Agrarpolitik in Deutschland und Frankreich auf der Suche nach neuen Wegen,en_US,"Seeking new ways in agriculture and agricultural policy in Germany and France. The concept of integrated rural development also represents a suitable approach for solving rural development problems in Europe. There are several reasons supporting the concept of rural development: changing framework conditions require new solutions and policies; rural areas need region-specific-development concepts; complex decision making requires cooperation between different actors and levels; sector-specific support remains part of region-specific development concepts; integrated rural development is time-consuming and requires intensive communication. A future-oriented sustainable policy for rural areas has to consider all functions of agriculture in a society, and this perspective can only be achieved with an integrated development approach.",,,,,2001-05-01,50,3,2001,,Articles,ART,,11,Hermann,Schlagheck,,,,,,,,,,,,,,,,,,,,,22_org.pdf,PDF,Article Text,en
,Kompetenzverteilung in der Agrarpolitik in Deutschland,en_US,"(Re-)Distribution of responsibilities in agricultural policy in Germany: In agricultural policy in Germany institutional and functional spheres of responsibility are mixed. The constitution of the Federal Republic of Germany warrants a strong position to the federal states in relation to the federal government. But in fact, the decentralized lines of the constitutional law and the clear division of responsibilities between the federal government and the federal states have lost their contours over time. Taking the developments on the revenue side and the expenditure side together, in the national sphere in Germany there is the impression that the various governmental levels form a sturdy ""network"". Only at the level of implementation there are quite pronounced decentralized elements. There has been much critical discussion since the late 1970s of this co-operative federalism, the result of the networking of government levels. However, it has not been changed in principle. In the field of agricultural policy this networking is superimposed by the incorporation of the EU. Against the background of changed underlying conditions for integration and increased integration of European agriculture in world trade, the extensive transfer of agricultural policy responsibilities to the EU is in need of revision. In particular, the opening of the EU towards Central and Eastern Europe also requires a consideration of the mechanism of the EU agricultural policy. Recommendations from the viewpoint of fiscal federalism are discussed for a revision in competences and clear demarcation of responsibilities for different fields of agricultural policy.",,,,,2001-05-01,50,3,2001,,Articles,ART,,12,Carsten,Thoroe,,,,,,,,,,,,,,,,,,,,,23_org.pdf,PDF,Article Text,en
,On the efficiency of farms in Brandenburg - A data envelopment analysis,en_US,"The transition of East German agriculture led to major structural adjustments that showed some very particular phenomena. For instance, most of the successors of the former agricultural production cooperatives (LPGs) make slight losses and they operate at a higher employment level than new and re-established farms. In this paper we try to explain these phenomena with the farms' history prior to the transition period. Particular attention is given to sunk costs, the identity of members and employees, and old debts. A Data Envelopment Analysis of 210 financial statements distributed over the financial years 1992/93 to 1995/96 gives evidence that these historical arguments had a decisive impact on the farms' behaviour. However, this impact decreases over time, particularly because of a gradual replacement of assets.",,,,,2001-05-01,50,3,2001,,Articles,ART,,13,Alfons,Balmann,Britta,Czasch,,,,,,,,,,,,,,,,,,,24_org.pdf,PDF,Article Text,en
,Utilisation of the internet in German agriculture: E-hubs as a new form of organization,en_US,"This paper describes the concept of E-commerce portals, so called E-hubs, in its basic characteristics and analyses their potential impacts on agribusiness enterprises and agricultural markets. Since these impacts depend on the level of market penetration of this new type of organisation, it is further attempted to identify the most relevant factors that determine future acceptance and utilisation of internet portals at sector and enterprise level.",,,,,2001-05-01,50,3,2001,,Articles,ART,,14,Andreas,Böcker,Claus,Brodersen,,,,,,,,,,,,,,,,,,,25_org.pdf,PDF,Article Text,en
,Determinants of price-cost-margins over the business cycle for food industries: An international comparison,en_US,"Based upon the structure-conduct-performance approach the present paper analyses determinants of price-cost-margins over the business cycle for food industries in Germany, the USA as well as the Netherlands. Controlling for market structure variables, cyclical fluctuations in profitability are interpreted as evidence for changes in firm behaviour. The econometric panel data models reveal pro-cyclic fluctuations of profits in highly concentrated industries in Germany. In contrast, profitability in competitive industries in Germany as well as in all US food industries are found to be more stable over the business cycle. This observation is explicable in terms of a more aggressive behaviour of firms in boom periods. The econometric model does not adequately explain industry differences in profitability in the Netherlands.",,,,,2001-05-01,50,3,2001,,Articles,ART,,15,Julia,Körner,Christoph,Weiss,,,,,,,,,,,,,,,,,,,26_org.pdf,PDF,Article Text,en
,Pricing patterns and promotion activities in the German grocery retail industry,en_US,"The present article discusses several pricing patterns and promotion activities in the German grocery retail industry. Special sales offers on the one hand and continuous pricing on the other hand affect the price instability of several selected products. Altogether the grocery retail industry exerts a stabilizing effect on prices in comparison with the price instability of agricultural commodities in the world market. Different price levels for products in some retail outlets show that a mixed price calculation is used. Price elasticities in the elastic part of the demand function for four selected products indicate that consumers react strongly to price discounts at the point of sale. Beside pricing strategies, different promotion activities affect demand for individual products strongly.",,,,,2001-05-01,50,3,2001,,Articles,ART,,16,Anke,Möser,,,,,,,,,,,,,,,,,,,,,27_org.pdf,PDF,Article Text,en
,Impacts of environmental regulations on the efficiency of arable farms in France and Germany,en_US,"This paper develops a methodology for asymmetric treatment of desirable and undesirable outputs. First, a hyperbolic output efficiency measurement is used to describe a middle term transformation of production processes where producers try to improve their competitiveness together with a reduction of the negative impact on the environment. Second, a radial efficiency measurement, called directional output distance function, is used to depict a long-term transformation of the production process. A non-parametric Data Envelopment Analysis (DEA) and a Stochastic Frontier Analysis (SFA) are used to evaluate the impact of agricultural policy changes, both in France and Germany, on the technical and environmental efficiency of arable farms, taking into account participation or not in agri-environmental programs. The results from both methods indicate only limited possibilities for environmental improvements, mainly for farms participating in agri-environmental programs.",,,,,2001-05-01,50,3,2001,,Articles,ART,,17,Isabelle,Piot-Lepetit,Bernhard,Brümmer,Werner,Kleinhanss,,,,,,,,,,,,,,,,,21_org.pdf,PDF,Article Text,en
,Grundsätze für eine Neuausrichtung der Agrarpolitik,de_DE,"Dieser Artikel ist nur in deutscher Sprache verfügbar. 
The article is only available in German language.",,,,,2001-05-28,50,4,2001,,Articles,ART,,1,Ulrich,Koester,,,,,,,,,,,,,,,,,,,,,28_org.pdf,PDF,Article Text,de
,Perspectives of farm management economics,en_US,"Traditional objects of farm management research and farm management science are farms and farm households. In the course of time new objects have been added, for example different forms of horizontal and vertical co-operation, commerce and manufacturing enterprises in the field of agriculture, partly supplying, and service industries in agriculture. Corresponding to that, there are numerous addressees: relevant academics, students, farmers and their consultants, agricultural experts, also increasingly employees in agribusiness, agricultural societies and administrations, partly also jurisdiction, agrarian politicians, and finally the public. There is a large variety of topics concerning farm management research and science. Important traditional topics with varying focuses are: description of forms of enterprises, operations research and analysis, co-operate planning, appraisal, site assessment, use of electronic media, analysis of new technologies and their results, and finally the individual farm analysis of agrarian policy measures. Recent topics are in particular: economic research on organic farming, farm economic questions in connection with biotechnology and genetic engineering, farm economic controlling, internal procuring and marketing policy, business relations, analysis of international competitiveness of farm businesses as well as enterprises in agribusiness, farm environmental economy, and economic examinations of agricultural institutions. As far as organisation is concerned, farm management economics should stay in future within agricultural faculties. Farm management economics should not be classified as part of business economics and should not be integrated in business science faculties. Due to the large field of topics, farm management economics should have two professorships per faculty. Besides, a basic level of science has to be passed at any agricultural university. Above that, varied priority programs on special fields should be offered as it is currently the case.",,,,,2001-05-28,50,4,2001,,Articles,ART,,2,Manfred,Köhne,,,,,,,,,,,,,,,,,,,,,29_org.pdf,PDF,Article Text,en
,Evaluation of Agro-Environmental Programmes - A Farm Level Analysis in Baden-Württemberg and Brandenburg,en_US,"Under the condition of significant changes in the framework of EU Agricultural Policy Agro-Environmental Programmes are evaluated in this paper. The MEKA-Programme of Baden-Württemberg and the KULAP-Programme of Brandenburg, both measures under the EU-Regulation VO (EWG) 2078/92 of 1992, are analysed using farm level Linear Programming models. One of the most important results is that both, the MEKA- and the KULAP-Program, have positive environmental effects. In addition they are also responsible for significant transfer payments which under unfavourable production conditions can reach up to 40 % of the farm level gross margins. Farm structure, indicated by production conditions, crops and major production areas, is responsible for the application to the above mentioned programmes as well as for the extent of positive environmental effects. Losses in production efficiency and additional income effects are the consequence of non-consideration of the programmes offered. With respect to the results of the model calculation it is suggested that agro-environmental measures become more goal oriented and consider as far as possible regional conditions. More general programmes should become a more flexible and allow for flexible and dynamic reactions to changing circumstances.",,,,,2001-05-28,50,4,2001,,Articles,ART,,3,Patrick,Baudoux,,,,,,,,,,,,,,,,,,,,,31_org.pdf,PDF,Article Text,en
,An empirical investigation of the demand for bananas in Germany,en_US,"We use econometric methods to investigate consumer demand for bananas and for other fruit in Germany. Monthly household survey data for the period 1986-1998 are analysed. Demand for bananas is significantly responsive to own price, suggesting that policy-induced price increases generate the usual dead-weight losses. Demand is also responsive to income changes, indicating that there is scope for further market expansion as incomes grow. There is evidence that other categories of fruit are both gross and net substitutes for bananas.",,,,,2001-05-28,50,4,2001,,Articles,ART,,4,Alison Burrell,Burrell,Arne,Henningsen,,,,,,,,,,,,,,,,,,,30_org.pdf,PDF,Article Text,en
,Perspektiven des Gartenbaus in einem internationalen Markt,de_DE,"Dieser Artikel ist nur in deutscher Sprache verfügbar. 
The article is only available in German language.",,,,,2001-06-21,50,5,2001,,Articles,ART,,1,Wolfgang,Bokelmann,,,,,,,,,,,,,,,,,,,,,32_org.pdf,PDF,Article Text,de
,Calculation of price and expenditure elasticities for food in Germany: Estimation of a LA/AIDS,en_US,"Complete and consistent, i.e. theoretically appropriate demand systems have seldom been developed for Germany. Econometric food demand analyses have concentrated on single products and product groups. Generally, demand functions have been estimated using single equation methods. The purpose of this paper is to analyse the food demand in former West Germany on the basis of the Almost Ideal Demand System (AIDS) developed by DEATON and MUELLBAUER (1980). A two-stage demand system is based on data for the household type III gathered on a monthly basis during the period from 1966 to 1997. At a first stage, five aggregates of food (meats and fish; dairy and eggs; edible fats; cereals, fruits and vegetables; and other foods) and one non-food group are specified. The second stage includes four groups of meat (beef, pork, poultry, and other processed meats) and fish. The results of the demand system allow statements about the changes in food demand over time periods.",,,,,2001-06-27,50,5,2001,,Articles,ART,,2,Susanne,Wildner,,,,,,,,,,,,,,,,,,,,,33_org.pdf,PDF,Article Text,en
,The influence of the image of organic products on market development,en_US,"According to several surveys organic products widely meet consumers demand, but the corresponding market share in Germany is less than 2,5 %. Missing confidence in the authenticity of organic products, high prices compared to other foods, a low density of distribution, and a lack of a uniform label are regarded as hampering factors for market growth. The influence of the image of organic products on market development, however, is analyzed insufficiently by now. This paper therefore aims at investigating the implications of the image of organic foods on its acceptance by consumers and deriving hints for the development of the market. The actual study is based on a concept of morphological market research, the results refer to Germany and can be summarized as follows. 1. The tradition of the image of organic products is closely associated with the production methods and some kind of ascetic lifestyle. Using those products is classified as part of this lifestyle. Consumers are impressed by a concept of living that is regarded as fundamental. On the other hand perceived changes of the products and prospects for future developments are of less relevance for the image. 2. Consumers' blending of organic products and the ascetic lifestyle might be an important explanation for the low market share of organic products. 3. Positioning organic products within a market segment of tasteful foods necessarily needs to detach the connection between organic products and the ""organic lifestyle"". This is possible by co-operating with strong brands for example on the market of frozen food or baby food. 4. Moreover, sales opportunities could arise in the segment for wellness-products because organic products are regarded as healthy and thus meet the demands for products in this segment. In any case, one might take into account the competition with other constitutional foods that are produced in a substantial´ly different way, as e.g. dietary supplement or functional-food. Thus a strategy to benefit from these market opportunities could result in severe problems with the supplying farmers.",,,,,2001-06-27,50,5,2001,,Articles,ART,,3,Johannes,Simons,Carl,Vierboom,Ingo,Härlen,,,,,,,,,,,,,,,,,34_org.pdf,PDF,Article Text,en
